student_id,name,email
2023102847,Juan dela Cruz,juan.delacruz@school.edu
2023204531,Maria Santos,maria.santos@school.edu
2023318276,Carlo Reyes,carlo.reyes@school.edu
2023429105,Ana Gonzales,ana.gonzales@school.edu
2023537864,Miguel Torres,miguel.torres@school.edu
2023641293,Rosa Villanueva,rosa.villanueva@school.edu
2023753820,Andres Lim,andres.lim@school.edu
2023867412,Josefina Ramos,josefina.ramos@school.edu
2023974056,Paolo Mendoza,paolo.mendoza@school.edu
2023081739,Kristine Flores,kristine.flores@school.edu
2023193482,Ramon Castillo,ramon.castillo@school.edu
2023256714,Lourdes Aquino,lourdes.aquino@school.edu
2023348925,Jerome Bautista,jerome.bautista@school.edu
2023461083,Maricel Cruz,maricel.cruz@school.edu
2023572396,Danilo Fernandez,danilo.fernandez@school.edu
2023684157,Sheila Garcia,sheila.garcia@school.edu
2023795842,Eduardo Hernandez,eduardo.hernandez@school.edu
2023809263,Teresita Jimenez,teresita.jimenez@school.edu
2023912574,Renato Lopez,renato.lopez@school.edu
2023023816,Cecilia Navarro,cecilia.navarro@school.edu
